fundos,setor,preco_atual,p_vp,dy_12m_media,pl,quantidade_ativos,R$1.000,R$10.000,R$100.000
GSFI11,SHOPPINGS,"R$ 7,90","0,55","0,00%","1.071.517.626,29",9,"R$ 0,80","R$ 8,00","R$ 80,00"
GURB11,INDEFINIDO,"105,00","0,94","0,08%","126.189.048,78",2,"R$ 0,80","R$ 8,00","R$ 80,00"
TJKB11,INDEFINIDO,"262,16","0,98","0,08%","202.746.905,04",7,"R$ 0,90","R$ 9,00","R$ 90,00"
ATSA11,SHOPPINGS,"R$ 57,50","0,7","0,08%","143.373.897,92",1,"R$ 1,20","R$ 12,00","R$ 120,00"
YUFI11,FUNDO DE DESENVOLVIMENTO,"R$ 89,99","0,88","0,09%","50.098.006,90",28,"R$ 1,40","R$ 14,00","R$ 140,00"
BRIM11,FUNDO DE DESENVOLVIMENTO,"1.030,22","0,89","0,12%","143.097.842,63",1,"R$ 1,40","R$ 14,00","R$ 140,00"
SEED11,INDEFINIDO,"R$ 98,99","1,11","0,14%","146.542.434,60",0,"R$ 1,60","R$ 16,00","R$ 160,00"
BTSG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 139,08","1,01","0,14%","106.746.178,22",1,"R$ 1,80","R$ 18,00","R$ 180,00"
RBVO11,PAPÉIS,"R$ 8,49","0,47","0,16%","9.306.848,49",0,"R$ 1,90","R$ 19,00","R$ 190,00"
CCME11,INDEFINIDO,"R$ 108,85","1,07","0,18%","306.443.211,76",2,"R$ 2,00","R$ 20,00","R$ 200,00"
BLCA11,INDEFINIDO,128,"0,94","0,19%","217.802.295,64",1,"R$ 2,30","R$ 23,00","R$ 230,00"
ERPA11,LAJES CORPORATIVAS,"R$ 119,00","0,87","0,20%","68.348.147,51",2,"R$ 2,30","R$ 23,00","R$ 230,00"
HBCR11,INDEFINIDO,116,"1,13","0,23%","115.283.619,73",4,"R$ 2,60","R$ 26,00","R$ 260,00"
TRNT11,LAJES CORPORATIVAS,"R$ 123,00","0,63","0,23%","773.997.393,87",1,"R$ 2,80","R$ 28,00","R$ 280,00"
BICE11,FUNDO DE FUNDOS,980,"0,99","0,26%","89.018.475,76",0,"R$ 3,20","R$ 32,00","R$ 320,00"
HUSI11,HOSPITALAR,"R$ 1.136,79","1,02","0,28%","129.367.556,42",0,"R$ 3,50","R$ 35,00","R$ 350,00"
CARE11,MISTO,"1,82","0,22","0,32%","297.666.193,03",1,"R$ 3,70","R$ 37,00","R$ 370,00"
CNES11,LAJES CORPORATIVAS,"R$ 25,85","0,28","0,35%","267.683.433,14",1,"R$ 3,80","R$ 38,00","R$ 380,00"
BPRP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 97,00","0,89","0,37%","147.332.908,30",1,"R$ 3,80","R$ 38,00","R$ 380,00"
TSER11,LAJES CORPORATIVAS,"R$ 102,00","1,01","0,38%","129.147.505,71",1,"R$ 3,90","R$ 39,00","R$ 390,00"
BRLA11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 147,95","0,94","0,38%","495.911.210,39",6,"R$ 4,00","R$ 40,00","R$ 400,00"
KEVE11,FUNDO DE DESENVOLVIMENTO,"1.084,86","1,18","0,39%","136.061.479,50",0,"R$ 4,10","R$ 41,00","R$ 410,00"
CTXT11,LAJES CORPORATIVAS,"R$ 12,16","0,38","0,40%","107.894.241,20",1,"R$ 4,20","R$ 42,00","R$ 420,00"
BLCP11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 91,00","0,81","0,41%","256.580.339,90",2,"R$ 4,30","R$ 43,00","R$ 430,00"
FMOF11,LAJES CORPORATIVAS,"R$ 54,01","0,45","0,42%","60.435.612,12",2,"R$ 4,40","R$ 44,00","R$ 440,00"
BLUR11,PAPÉIS,"R$ 100,00","1,05","0,43%","8.580.360,32",0,"R$ 4,40","R$ 44,00","R$ 440,00"
HUCG11,HOSPITALAR,"R$ 101,99","0,99","0,44%","115.061.656,48",2,"R$ 4,50","R$ 45,00","R$ 450,00"
SCPF11,SHOPPINGS,"R$ 5,00","0,43","0,44%","49.092.959,05",1,"R$ 4,60","R$ 46,00","R$ 460,00"
BPML11,SHOPPINGS,"R$ 76,40","0,58","0,45%","570.021.556,31",4,"R$ 5,10","R$ 51,00","R$ 510,00"
HSRE11,MISTO,"R$ 102,67","1,1","0,46%","830.382.224,69",27,"R$ 5,10","R$ 51,00","R$ 510,00"
HCRA11,INDEFINIDO,"R$ 102,90",N/A,"0,51%",N/A,0,"R$ 5,10","R$ 51,00","R$ 510,00"
HAAA11,LAJES CORPORATIVAS,"R$ 59,59","0,74","0,51%","279.416.181,84",2,"R$ 5,10","R$ 51,00","R$ 510,00"
SHPH11,SHOPPINGS,"792,12","0,89","0,51%","542.318.124,24",1,"R$ 5,20","R$ 52,00","R$ 520,00"
RBGS11,SHOPPINGS,"R$ 28,45","0,31","0,51%","97.865.283,71",1,"R$ 5,40","R$ 54,00","R$ 540,00"
DRIT11B,LAJES CORPORATIVAS,"R$ 92,90","0,7","0,52%","61.446.184,81",4,"R$ 5,40","R$ 54,00","R$ 540,00"
RMAI11,LAJES CORPORATIVAS,"R$ 50,99","0,51","0,54%","242.344.280,94",2,"R$ 5,60","R$ 56,00","R$ 560,00"
ONEF11,LAJES CORPORATIVAS,"R$ 201,80","0,88","0,54%","209.516.806,41",1,"R$ 5,60","R$ 56,00","R$ 560,00"
BICR11,PAPÉIS,"87,12","0,86","0,56%","50.897.643,19",0,"R$ 5,70","R$ 57,00","R$ 570,00"
RBRP11,LAJES CORPORATIVAS,"R$ 58,97","0,72","0,56%","1.003.838.610,33",10,"R$ 5,80","R$ 58,00","R$ 580,00"
RBIR11,FUNDO DE DESENVOLVIMENTO,"R$ 84,10","0,81","0,57%","158.500.274,98",0,"R$ 5,80","R$ 58,00","R$ 580,00"
RCRB11,LAJES CORPORATIVAS,"R$ 151,26","0,73","0,58%","769.030.231,50",9,"R$ 5,80","R$ 58,00","R$ 580,00"
EDGA11,LAJES CORPORATIVAS,"R$ 19,80","0,32","0,58%","233.462.987,56",1,"R$ 6,10","R$ 61,00","R$ 610,00"
XPPR11,LAJES CORPORATIVAS,"R$ 22,54","0,32","0,58%","515.697.388,77",5,"R$ 6,10","R$ 61,00","R$ 610,00"
CBOP11,LAJES CORPORATIVAS,"R$ 31,88","0,43","0,61%","104.424.568,13",1,"R$ 6,10","R$ 61,00","R$ 610,00"
HGPO11,LAJES CORPORATIVAS,"279,18","0,93","0,61%","524.362.205,21",2,"R$ 6,30","R$ 63,00","R$ 630,00"
RBLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,"R$ 100,51","0,99","0,61%","65.108.777,70",1,"R$ 6,30","R$ 63,00","R$ 630,00"
WTSP11B,MISTO,"R$ 36,50","0,5","0,63%","71.984.230,05",2,"R$ 6,30","R$ 63,00","R$ 630,00"
